"Model","Weibull_shape","Censoring","Censoring_label","IPCW_method","nsim","Estimator","Parameter","True","Estimate","Bias","Rel_Bias","SD","Success"
"Model 1",1,"none","(a) no censoring","ind",1000,"PO only","Intercept",-1.234,-1.209,0.025,-0.0203,1.0473,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"PO only","Age",0.0387,0.0393,6e-04,0.0142,0.0094,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"PO only","LogBili",0.8371,0.8427,0.0056,0.0067,0.0934,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"PO only","Albumin",-1.159,-1.1767,-0.0177,0.0153,0.2388,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"IPCW only corrected","Intercept",-1.234,-1.209,0.025,-0.0203,1.0473,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"IPCW only corrected","Age",0.0387,0.0393,6e-04,0.0142,0.0094,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"IPCW only corrected","LogBili",0.8371,0.8427,0.0056,0.0067,0.0934,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"IPCW only corrected","Albumin",-1.159,-1.1767,-0.0177,0.0153,0.2388,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"Stacked GMM corrected","Intercept",-1.234,-1.2082,0.0258,-0.0209,1.0472,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"Stacked GMM corrected","Age",0.0387,0.0392,5e-04,0.014,0.0094,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"Stacked GMM corrected","LogBili",0.8371,0.8427,0.0056,0.0066,0.0934,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"Stacked GMM corrected","Albumin",-1.159,-1.1768,-0.0178,0.0153,0.2388,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"PO only","Intercept",-1.234,-1.1156,0.1184,-0.0959,1.4335,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"PO only","Age",0.0387,0.0391,4e-04,0.0104,0.0128,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"PO only","LogBili",0.8371,0.852,0.0149,0.0178,0.1296,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"PO only","Albumin",-1.159,-1.2073,-0.0483,0.0417,0.332,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"IPCW only corrected","Intercept",-1.234,-1.1123,0.1217,-0.0986,1.3485,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"IPCW only corrected","Age",0.0387,0.0383,-4e-04,-0.0116,0.0127,1000
