"Model","Weibull_shape","Censoring_label","Parameter","PO-only","IPCW-only","Stacked-GMM"
"Model 1",1,"(a) no censoring","Intercept",0.935,0.935,0.935
"Model 1",1,"(a) no censoring","Age",0.949,0.949,0.949
"Model 1",1,"(a) no censoring","LogBili",0.936,0.936,0.936
"Model 1",1,"(a) no censoring","Albumin",0.922,0.922,0.922
"Model 1",1,"(b) independent censoring","Intercept",0.935,0.935,0.949
"Model 1",1,"(b) independent censoring","Age",0.938,0.951,0.95
"Model 1",1,"(b) independent censoring","LogBili",0.939,0.933,0.938
"Model 1",1,"(b) independent censoring","Albumin",0.926,0.936,0.94
"Model 1",1,"(c) group-specific censoring","Intercept",0.932,0.937,0.936
"Model 1",1,"(c) group-specific censoring","Age",0.922,0.93,0.933
"Model 1",1,"(c) group-specific censoring","LogBili",0.91,0.942,0.943
"Model 1",1,"(c) group-specific censoring","Albumin",0.901,0.924,0.931
"Model 1",1,"(d) covariate-dependent censoring","Intercept",0.921,0.856,0.874
"Model 1",1,"(d) covariate-dependent censoring","Age",0.947,0.8107,0.815
"Model 1",1,"(d) covariate-dependent censoring","LogBili",0.916,0.7805,0.725
"Model 1",1,"(d) covariate-dependent censoring","Albumin",0.9,0.9003,0.924
"Model 2",2,"(a) no censoring","Intercept",0.946,0.946,0.946
"Model 2",2,"(a) no censoring","Age",0.958,0.958,0.958
"Model 2",2,"(a) no censoring","LogBili",0.945,0.945,0.945
"Model 2",2,"(a) no censoring","Albumin",0.947,0.947,0.947
"Model 2",2,"(b) independent censoring","Intercept",0.933,0.937,0.939
"Model 2",2,"(b) independent censoring","Age",0.93,0.941,0.941
"Model 2",2,"(b) independent censoring","LogBili",0.934,0.948,0.953
"Model 2",2,"(b) independent censoring","Albumin",0.919,0.942,0.951
"Model 2",2,"(c) group-specific censoring","Intercept",0.918,0.941,0.942
"Model 2",2,"(c) group-specific censoring","Age",0.941,0.945,0.952
"Model 2",2,"(c) group-specific censoring","LogBili",0.913,0.941,0.941
"Model 2",2,"(c) group-specific censoring","Albumin",0.91,0.943,0.94
"Model 2",2,"(d) covariate-dependent censoring","Intercept",0.927,0.875,0.908
"Model 2",2,"(d) covariate-dependent censoring","Age",0.922,0.852,0.828
"Model 2",2,"(d) covariate-dependent censoring","LogBili",0.904,0.803,0.746
"Model 2",2,"(d) covariate-dependent censoring","Albumin",0.901,0.915,0.938
