"Model","Weibull_shape","Censoring_label","Parameter","PO-only","IPCW-only","Stacked-GMM"
"Model 1",1,"(a) no censoring","Intercept",1.0748,1.0748,1.0748
"Model 1",1,"(a) no censoring","Age",0.0092,0.0092,0.0092
"Model 1",1,"(a) no censoring","LogBili",0.0992,0.0992,0.0992
"Model 1",1,"(a) no censoring","Albumin",0.2409,0.2409,0.2409
"Model 1",1,"(b) independent censoring","Intercept",1.4151,1.3135,1.2143
"Model 1",1,"(b) independent censoring","Age",0.0126,0.0112,0.0107
"Model 1",1,"(b) independent censoring","LogBili",0.1318,0.1189,0.1118
"Model 1",1,"(b) independent censoring","Albumin",0.3321,0.2861,0.2668
"Model 1",1,"(c) group-specific censoring","Intercept",1.4054,1.3399,1.2385
"Model 1",1,"(c) group-specific censoring","Age",0.0122,0.0116,0.0109
"Model 1",1,"(c) group-specific censoring","LogBili",0.1295,0.1214,0.1094
"Model 1",1,"(c) group-specific censoring","Albumin",0.334,0.2942,0.2721
"Model 1",1,"(d) covariate-dependent censoring","Intercept",1.4748,2.5207,1.5691
"Model 1",1,"(d) covariate-dependent censoring","Age",0.0117,0.0289,0.0147
"Model 1",1,"(d) covariate-dependent censoring","LogBili",0.1302,0.3789,0.1637
"Model 1",1,"(d) covariate-dependent censoring","Albumin",0.3538,0.5174,0.3285
"Model 2",2,"(a) no censoring","Intercept",0.7957,0.7957,0.7957
"Model 2",2,"(a) no censoring","Age",0.007,0.007,0.007
"Model 2",2,"(a) no censoring","LogBili",0.0728,0.0728,0.0728
"Model 2",2,"(a) no censoring","Albumin",0.1753,0.1753,0.1753
"Model 2",2,"(b) independent censoring","Intercept",1.2793,1.0406,1.0158
"Model 2",2,"(b) independent censoring","Age",0.0116,0.0094,0.0094
"Model 2",2,"(b) independent censoring","LogBili",0.1181,0.0953,0.092
"Model 2",2,"(b) independent censoring","Albumin",0.3015,0.2201,0.2154
"Model 2",2,"(c) group-specific censoring","Intercept",1.1959,1.0418,0.982
"Model 2",2,"(c) group-specific censoring","Age",0.0102,0.0091,0.0086
"Model 2",2,"(c) group-specific censoring","LogBili",0.1167,0.1041,0.0926
"Model 2",2,"(c) group-specific censoring","Albumin",0.2821,0.2205,0.2097
"Model 2",2,"(d) covariate-dependent censoring","Intercept",1.2015,2.1549,1.1877
"Model 2",2,"(d) covariate-dependent censoring","Age",0.0108,0.0223,0.012
"Model 2",2,"(d) covariate-dependent censoring","LogBili",0.1173,0.2731,0.1375
"Model 2",2,"(d) covariate-dependent censoring","Albumin",0.2817,0.4474,0.2546
