"Model","Weibull_shape","Censoring_label","Parameter","PO-only","IPCW-only","Stacked-GMM"
"Model 1",1,"(a) no censoring","Intercept",-1.2383,-1.2383,-1.2372
"Model 1",1,"(a) no censoring","Age",0.0395,0.0395,0.0395
"Model 1",1,"(a) no censoring","LogBili",0.8437,0.8437,0.8437
"Model 1",1,"(a) no censoring","Albumin",-1.172,-1.172,-1.1722
"Model 1",1,"(b) independent censoring","Intercept",-1.1691,-1.2353,-1.1757
"Model 1",1,"(b) independent censoring","Age",0.0397,0.0391,0.039
"Model 1",1,"(b) independent censoring","LogBili",0.8539,0.8538,0.8468
"Model 1",1,"(b) independent censoring","Albumin",-1.1985,-1.1692,-1.183
"Model 1",1,"(c) group-specific censoring","Intercept",-0.9396,-1.2337,-1.0924
"Model 1",1,"(c) group-specific censoring","Age",0.0415,0.0399,0.0397
"Model 1",1,"(c) group-specific censoring","LogBili",0.8843,0.8522,0.8443
"Model 1",1,"(c) group-specific censoring","Albumin",-1.2601,-1.1857,-1.1969
"Model 1",1,"(d) covariate-dependent censoring","Intercept",-1.1009,-2.174,-2.0001
"Model 1",1,"(d) covariate-dependent censoring","Age",0.0409,0.0512,0.0499
"Model 1",1,"(d) covariate-dependent censoring","LogBili",0.8847,0.9806,0.9918
"Model 1",1,"(d) covariate-dependent censoring","Albumin",-1.2233,-1.2525,-1.1989
"Model 2",2,"(a) no censoring","Intercept",-1.2278,-1.2278,-1.2268
"Model 2",2,"(a) no censoring","Age",0.039,0.039,0.039
"Model 2",2,"(a) no censoring","LogBili",0.84,0.84,0.84
"Model 2",2,"(a) no censoring","Albumin",-1.1691,-1.1691,-1.1692
"Model 2",2,"(b) independent censoring","Intercept",-1.1896,-1.2724,-1.2303
"Model 2",2,"(b) independent censoring","Age",0.0402,0.0392,0.0393
"Model 2",2,"(b) independent censoring","LogBili",0.8565,0.8418,0.84
"Model 2",2,"(b) independent censoring","Albumin",-1.2011,-1.1572,-1.1694
"Model 2",2,"(c) group-specific censoring","Intercept",-0.8693,-1.2107,-1.0912
"Model 2",2,"(c) group-specific censoring","Age",0.0407,0.039,0.0387
"Model 2",2,"(c) group-specific censoring","LogBili",0.8571,0.8425,0.8199
"Model 2",2,"(c) group-specific censoring","Albumin",-1.2509,-1.1756,-1.1718
"Model 2",2,"(d) covariate-dependent censoring","Intercept",-1.0668,-1.8599,-1.7055
"Model 2",2,"(d) covariate-dependent censoring","Age",0.0409,0.0478,0.0468
"Model 2",2,"(d) covariate-dependent censoring","LogBili",0.8905,0.9447,0.9553
"Model 2",2,"(d) covariate-dependent censoring","Albumin",-1.2294,-1.2319,-1.201
