"Model","Weibull_shape","Censoring_label","Parameter","PO-only","IPCW-only","Stacked-GMM"
"Model 1",1,"(a) no censoring","Intercept",0.0035,0.0035,0.0026
"Model 1",1,"(a) no censoring","Age",0.0209,0.0209,0.0206
"Model 1",1,"(a) no censoring","LogBili",0.0079,0.0079,0.0079
"Model 1",1,"(a) no censoring","Albumin",0.0112,0.0112,0.0114
"Model 1",1,"(b) independent censoring","Intercept",-0.0526,0.001,-0.0473
"Model 1",1,"(b) independent censoring","Age",0.0253,0.0116,0.0083
"Model 1",1,"(b) independent censoring","LogBili",0.0201,0.02,0.0115
"Model 1",1,"(b) independent censoring","Albumin",0.034,0.0088,0.0207
"Model 1",1,"(c) group-specific censoring","Intercept",-0.2386,-2e-04,-0.1147
"Model 1",1,"(c) group-specific censoring","Age",0.0729,0.0316,0.0247
"Model 1",1,"(c) group-specific censoring","LogBili",0.0564,0.0181,0.0086
"Model 1",1,"(c) group-specific censoring","Albumin",0.0873,0.023,0.0327
"Model 1",1,"(d) covariate-dependent censoring","Intercept",-0.1078,0.7618,0.6208
"Model 1",1,"(d) covariate-dependent censoring","Age",0.0573,0.3221,0.2889
"Model 1",1,"(d) covariate-dependent censoring","LogBili",0.0568,0.1715,0.1848
"Model 1",1,"(d) covariate-dependent censoring","Albumin",0.0555,0.0807,0.0344
"Model 2",2,"(a) no censoring","Intercept",-0.005,-0.005,-0.0058
"Model 2",2,"(a) no censoring","Age",0.0084,0.0084,0.0082
"Model 2",2,"(a) no censoring","LogBili",0.0035,0.0035,0.0034
"Model 2",2,"(a) no censoring","Albumin",0.0087,0.0087,0.0088
"Model 2",2,"(b) independent censoring","Intercept",-0.036,0.0311,-0.003
"Model 2",2,"(b) independent censoring","Age",0.0378,0.013,0.0151
"Model 2",2,"(b) independent censoring","LogBili",0.0232,0.0056,0.0034
"Model 2",2,"(b) independent censoring","Albumin",0.0364,-0.0015,0.009
"Model 2",2,"(c) group-specific censoring","Intercept",-0.2955,-0.0188,-0.1157
"Model 2",2,"(c) group-specific censoring","Age",0.0529,0.007,-0.0013
"Model 2",2,"(c) group-specific censoring","LogBili",0.0239,0.0065,-0.0205
"Model 2",2,"(c) group-specific censoring","Albumin",0.0793,0.0143,0.011
"Model 2",2,"(d) covariate-dependent censoring","Intercept",-0.1355,0.5072,0.3821
"Model 2",2,"(d) covariate-dependent censoring","Age",0.0564,0.2361,0.2092
"Model 2",2,"(d) covariate-dependent censoring","LogBili",0.0638,0.1285,0.1412
"Model 2",2,"(d) covariate-dependent censoring","Albumin",0.0607,0.0629,0.0362
