"Model","Weibull_shape","Censoring","Censoring_label","IPCW_method","nsim","Estimator","Parameter","True","Estimate","Bias","Rel_Bias","Empirical_SD","Mean_SE","Coverage","Success"
"Model 1",1,"none","(a) no censoring","ind",1000,"PO-only","Intercept",-1.234,-1.2383,-0.0043,0.0035,1.0748,1.0264,0.935,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"PO-only","Age",0.0387,0.0395,8e-04,0.0209,0.0092,0.0091,0.949,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"PO-only","LogBili",0.8371,0.8437,0.0066,0.0079,0.0992,0.0935,0.936,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"PO-only","Albumin",-1.159,-1.172,-0.013,0.0112,0.2409,0.2262,0.922,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"IPCW-only","Intercept",-1.234,-1.2383,-0.0043,0.0035,1.0748,1.0264,0.935,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"IPCW-only","Age",0.0387,0.0395,8e-04,0.0209,0.0092,0.0091,0.949,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"IPCW-only","LogBili",0.8371,0.8437,0.0066,0.0079,0.0992,0.0935,0.936,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"IPCW-only","Albumin",-1.159,-1.172,-0.013,0.0112,0.2409,0.2262,0.922,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"Stacked-GMM","Intercept",-1.234,-1.2372,-0.0032,0.0026,1.0748,1.0263,0.935,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"Stacked-GMM","Age",0.0387,0.0395,8e-04,0.0206,0.0092,0.0091,0.949,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"Stacked-GMM","LogBili",0.8371,0.8437,0.0066,0.0079,0.0992,0.0935,0.936,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"Stacked-GMM","Albumin",-1.159,-1.1722,-0.0132,0.0114,0.2409,0.2262,0.922,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"PO-only","Intercept",-1.234,-1.1691,0.0649,-0.0526,1.4151,1.3661,0.935,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"PO-only","Age",0.0387,0.0397,0.001,0.0253,0.0126,0.012,0.938,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"PO-only","LogBili",0.8371,0.8539,0.0168,0.0201,0.1318,0.1283,0.939,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"PO-only","Albumin",-1.159,-1.1985,-0.0395,0.034,0.3321,0.3134,0.926,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"IPCW-only","Intercept",-1.234,-1.2353,-0.0013,0.001,1.3135,1.2716,0.935,1000
