"Model","Weibull_shape","Censoring","Censoring_label","IPCW_method","nsim","Estimator","Parameter","True","Estimate","Bias","Rel_Bias","Empirical_SD","Mean_SE","Coverage","Success"
"Model 1",1,"none","(a) no censoring","ind",1000,"PO-only","Intercept",-1.234,-1.23832844139244,-0.0043284413924356,0.00350765104735462,1.0748362212046,1.0263612690861,0.935,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"PO-only","Age",0.0387,0.0395092293592326,0.000809229359232576,0.0209103193600149,0.00922288009961452,0.00910418160605922,0.949,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"PO-only","LogBili",0.8371,0.843742876685224,0.00664287668522423,0.00793558318626715,0.0992010394057587,0.0935030382255248,0.936,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"PO-only","Albumin",-1.159,-1.17202301888289,-0.0130230188828941,0.0112364269912805,0.24087256828505,0.226179460259488,0.922,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"IPCW-only","Intercept",-1.234,-1.23832844139224,-0.00432844139223976,0.00350765104719591,1.07483622120484,1.02636126908594,0.935,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"IPCW-only","Age",0.0387,0.0395092293592368,0.000809229359236822,0.0209103193601246,0.00922288009962407,0.00910418160605631,0.949,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"IPCW-only","LogBili",0.8371,0.843742876685075,0.00664287668507535,0.0079355831860893,0.0992010394057746,0.0935030382255044,0.936,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"IPCW-only","Albumin",-1.159,-1.17202301888263,-0.0130230188826337,0.0112364269910558,0.240872568284873,0.226179460259506,0.922,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"Stacked-GMM","Intercept",-1.234,-1.23721209236588,-0.00321209236587916,0.00260299219277079,1.07479964991388,1.02633202087073,0.935,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"Stacked-GMM","Age",0.0387,0.0394986636771743,0.000798663677174294,0.0206373043197492,0.00922127020043219,0.00910382786436209,0.949,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"Stacked-GMM","LogBili",0.8371,0.84368569452283,0.00658569452282964,0.00786727335184523,0.0991987766901645,0.0934986783245344,0.936,1000
"Model 1",1,"none","(a) no censoring","ind",1000,"Stacked-GMM","Albumin",-1.159,-1.17215908604074,-0.0131590860407433,0.0113538274725999,0.24088178651288,0.226176412689421,0.922,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"PO-only","Intercept",-1.234,-1.16907663904515,0.0649233609548465,-0.0526121239504429,1.41505285606561,1.36612104658177,0.935,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"PO-only","Age",0.0387,0.0396787121605232,0.000978712160523219,0.0252897199101607,0.0125785177888887,0.0119878152742467,0.938,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"PO-only","LogBili",0.8371,0.853926300680493,0.0168263006804926,0.0201007056271564,0.131773496973692,0.128271984861775,0.939,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"PO-only","Albumin",-1.159,-1.19845313586444,-0.0394531358644357,0.0340406694257426,0.332062651329517,0.313431326630375,0.926,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"IPCW-only","Intercept",-1.234,-1.23527553090647,-0.00127553090647181,0.00103365551577943,1.31347499018021,1.27155827874864,0.935,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"IPCW-only","Age",0.0387,0.0391490523679146,0.000449052367914586,0.01160342035955,0.0112066517160186,0.0113345044836382,0.951,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"IPCW-only","LogBili",0.8371,0.853806922569662,0.0167069225696617,0.0199580964874706,0.118917717574565,0.114747636372456,0.933,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"IPCW-only","Albumin",-1.159,-1.16921571930533,-0.0102157193053289,0.00881425306758321,0.286136299015591,0.277028036397545,0.936,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"Stacked-GMM","Intercept",-1.234,-1.17568420780198,0.0583157921980229,-0.0472575301442649,1.21434859230621,1.22300005545201,0.949,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"Stacked-GMM","Age",0.0387,0.0390222455773553,0.000322245577355253,0.00832675910478689,0.0107018027924856,0.0109457374077085,0.95,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"Stacked-GMM","LogBili",0.8371,0.846763861588163,0.0096638615881629,0.0115444529783334,0.11176243705873,0.110762001087218,0.938,1000
"Model 1",1,"independent","(b) independent censoring","ind",1000,"Stacked-GMM","Albumin",-1.159,-1.18297282532778,-0.0239728253277816,0.0206840598168952,0.26675348811093,0.268110792886892,0.94,1000
"Model 1",1,"group_specific","(c) group-specific censoring","gs",1000,"PO-only","Intercept",-1.234,-0.939604130418379,0.294395869581621,-0.238570396743615,1.40536987534959,1.31413983068828,0.932,1000
"Model 1",1,"group_specific","(c) group-specific censoring","gs",1000,"PO-only","Age",0.0387,0.0415195175069182,0.00281951750691824,0.072855749532771,0.0121815434244738,0.0115284026609916,0.922,1000
"Model 1",1,"group_specific","(c) group-specific censoring","gs",1000,"PO-only","LogBili",0.8371,0.884281944915309,0.0471819449153089,0.056363570559442,0.129541338314882,0.120236071135867,0.91,1000
"Model 1",1,"group_specific","(c) group-specific censoring","gs",1000,"PO-only","Albumin",-1.159,-1.26014356645238,-0.101143566452383,0.0872679607009348,0.334041762884143,0.301275272983446,0.901,1000
"Model 1",1,"group_specific","(c) group-specific censoring","gs",1000,"IPCW-only","Intercept",-1.234,-1.23373031344327,0.000269686556727988,-0.000218546642405177,1.33989280038466,1.24662749963669,0.937,1000
"Model 1",1,"group_specific","(c) group-specific censoring","gs",1000,"IPCW-only","Age",0.0387,0.0399239182448754,0.0012239182448754,0.0316257944412247,0.0116000457493525,0.0109799821978783,0.93,1000
"Model 1",1,"group_specific","(c) group-specific censoring","gs",1000,"IPCW-only","LogBili",0.8371,0.852249958303826,0.0151499583038256,0.0180981463431198,0.121366569462659,0.11932215268239,0.942,1000
"Model 1",1,"group_specific","(c) group-specific censoring","gs",1000,"IPCW-only","Albumin",-1.159,-1.18565472633937,-0.0266547263393699,0.0229980382565746,0.294208279728134,0.271773982960428,0.924,1000
"Model 1",1,"group_specific","(c) group-specific censoring","gs",1000,"Stacked-GMM","Intercept",-1.234,-1.0924231367574,0.1415768632426,-0.114730035042626,1.23849471088516,1.19272073502116,0.936,1000
"Model 1",1,"group_specific","(c) group-specific censoring","gs",1000,"Stacked-GMM","Age",0.0387,0.0396552370597176,0.00095523705971759,0.0246831281580773,0.0109053407800827,0.010574646364226,0.933,1000
"Model 1",1,"group_specific","(c) group-specific censoring","gs",1000,"Stacked-GMM","LogBili",0.8371,0.844303548962265,0.00720354896226483,0.00860536251614482,0.10935935186725,0.108831015324693,0.943,1000
"Model 1",1,"group_specific","(c) group-specific censoring","gs",1000,"Stacked-GMM","Albumin",-1.159,-1.19694114199907,-0.0379411419990694,0.0327361018111039,0.272060348240205,0.263208208370776,0.931,1000
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"PO-only","Intercept",-1.234,-1.10093932701437,0.133060672985633,-0.10782874634168,1.47480522378708,1.33644656058581,0.921,1000
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"PO-only","Age",0.0387,0.0409176925393012,0.00221769253930125,0.0573047167778101,0.0117245009698548,0.0116547828544398,0.947,1000
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"PO-only","LogBili",0.8371,0.884661924788707,0.0475619247887072,0.0568174946705379,0.130160534080343,0.123817517471888,0.916,1000
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"PO-only","Albumin",-1.159,-1.22329364051294,-0.0642936405129417,0.0554733740405019,0.353753120244307,0.305351848301237,0.9,1000
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW-only","Intercept",-1.234,-2.17403573933163,-0.940035739331631,0.76177936736761,2.5207178961127,1.70438442227918,0.855991943605237,993
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW-only","Age",0.0387,0.0511636066813257,0.0124636066813257,0.322057020189294,0.0289276488396036,0.0154821830143581,0.81067472306143,993
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW-only","LogBili",0.8371,0.980647863774488,0.143547863774488,0.171482336368998,0.378904199209854,0.155239836797285,0.780463242698892,993
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"IPCW-only","Albumin",-1.159,-1.25252912884746,-0.0935291288474602,0.0806981267018639,0.517437000343055,0.37183501927732,0.900302114803625,993
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked-GMM","Intercept",-1.234,-2.00010140462615,-0.766101404626147,0.620827718497688,1.5690568562016,1.34650189448327,0.874,1000
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked-GMM","Age",0.0387,0.0498822121228207,0.0111822121228207,0.288946049685289,0.0147095778172049,0.0120146998690738,0.815,1000
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked-GMM","LogBili",0.8371,0.991769991850202,0.154669991850202,0.184768835085655,0.163728497760711,0.123555562637916,0.725,1000
"Model 1",1,"covariate_dependent","(d) covariate-dependent censoring","cox",1000,"Stacked-GMM","Albumin",-1.159,-1.19887272627946,-0.03987272627946,0.0344026973938395,0.328546445694917,0.29636804567777,0.924,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"PO-only","Intercept",-1.234,-1.22780040345252,0.00619959654748103,-0.00502398423620829,0.795680364611919,0.780127617009096,0.946,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"PO-only","Age",0.0387,0.0390270096675483,0.000327009667548318,0.00844986221055086,0.00704496811488895,0.0070896247630856,0.958,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"PO-only","LogBili",0.8371,0.840016055982087,0.00291605598208722,0.00348352166059876,0.0728308197189925,0.0722430787339855,0.945,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"PO-only","Albumin",-1.159,-1.16913469405848,-0.0101346940584777,0.00874434344993759,0.175312835944753,0.170142881407784,0.947,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"IPCW-only","Intercept",-1.234,-1.22780040345223,0.00619959654777347,-0.00502398423644527,0.795680364610535,0.780127617008785,0.946,1000
"Model 2",2,"none","(a) no censoring","ind",1000,"IPCW-only","Age",0.0387,0.0390270096675418,0.000327009667541851,0.00844986221038375,0.00704496811488229,0.00708962476308167,0.958,1000
